DATE,NC,SC,T_WA
2015-01-01,39.16666666666666,42.125,40.140754344335704
2015-01-02,40.41666666666666,43.375,41.390754344335704
2015-01-03,50.0,51.375,50.45274497694477
2015-01-04,54.0,54.5,54.164634537070825
2015-01-05,63.75,62.5,63.33841365732294
2015-01-06,48.25,47.75,48.085365462929175
2015-01-07,43.66666666666666,46.25,44.51727844153259
2015-01-08,31.75,36.75,33.39634537070825
2015-01-09,21.5,23.75,22.24085541681871
2015-01-10,34.833333333333336,36.625,35.42327375783712
2015-01-11,33.0,36.625,34.19360039376348
2015-01-12,36.583333333333336,40.125,37.74949463758501
2015-01-13,50.27272727272727,48.28571428571429,49.61846534618607
2015-01-14,44.81818181818182,44.5,44.71341438550039
2015-01-15,37.0,38.5,37.493903611212474
2015-01-16,38.16666666666666,41.125,39.140754344335704
2015-01-17,43.83333333333334,45.875,44.50559102637254
2015-01-18,43.08333333333334,45.125,43.75559102637254
2015-01-19,50.83333333333334,53.25,51.629066929175664
2015-01-20,48.75,51.0,49.49085541681871
2015-01-21,53.75,54.25,53.914634537070825
2015-01-22,50.58333333333334,54.25,51.790653271852726
2015-01-23,46.41666666666666,49.375,47.390754344335704
2015-01-24,45.66666666666666,50.0,47.093499321280476
2015-01-25,47.66666666666666,49.25,48.18800936739094
2015-01-26,43.25,45.0,43.826220879747886
2015-01-27,45.08333333333334,48.125,46.08486010051419
2015-01-28,38.0,41.125,39.02896585669266
2015-01-29,36.25,39.5,37.32012449096036
2015-01-30,37.583333333333336,41.625,38.914129174655834
2015-01-31,41.5,45.625,42.85823493083431
2015-02-01,36.41666666666666,39.875,37.55538888140653
2015-02-02,44.16666666666666,49.875,46.04624429822524
2015-02-03,46.75,47.375,46.955793171338534
2015-02-04,35.083333333333336,37.5,35.87906692917565
2015-02-05,41.25,42.25,41.57926907414165
2015-02-06,40.25,45.125,41.855186736440544
2015-02-07,31.58333333333333,35.875,32.996446443191246
2015-02-08,43.33333333333334,45.625,44.087908294907955
2015-02-09,56.25,55.625,56.044206828661466
2015-02-10,56.91666666666666,56.75,56.861788487643054
2015-02-11,43.91666666666666,49.375,45.71392702968983
2015-02-12,39.5,46.25,41.72256625045613
2015-02-13,43.08333333333334,48.125,44.74339824879749
2015-02-14,30.25,34.25,31.567076296566597
2015-02-15,37.083333333333336,42.125,38.74339824879748
2015-02-16,28.91666666666667,37.375,31.70173425211479
2015-02-17,27.83333333333333,37.625,31.057426350970317
2015-02-18,31.54545454545455,39.25,34.08232309395498
2015-02-19,32.63636363636363,37.25,34.15549141024443
2015-02-20,22.181818181818183,25.875,23.397868739727684
2015-02-21,19.272727272727273,25.125,21.199699695260794
2015-02-22,35.666666666666664,41.75,37.66972020102837
2015-02-23,53.75,54.25,53.914634537070825
2015-02-24,41.66666666666666,49.5,44.24594108077625
2015-02-25,29.66666666666667,35.25,31.505085663957548
2015-02-26,33.45454545454545,36.75,34.53963672160316
2015-02-27,37.0,39.75,37.905489953889536
2015-02-28,39.083333333333336,43.375,40.496446443191246
2015-03-01,36.083333333333336,42.375,38.154984591474545
2015-03-02,40.25,40.75,40.414634537070825
2015-03-03,50.16666666666666,57.0,52.4166720066346
2015-03-04,44.41666666666666,51.875,46.87246517797313
2015-03-05,60.41666666666666,61.375,60.732216196052406
2015-03-06,52.66666666666666,57.75,54.34045112688671
2015-03-07,33.75,40.625,36.01372488472384
2015-03-08,40.083333333333336,44.875,41.66108098026207
2015-03-09,52.75,54.25,53.243903611212474
2015-03-10,56.58333333333334,59.25,57.46138419771108
2015-03-11,62.16666666666666,64.875,63.05843707580029
2015-03-12,68.5,70.125,69.03506224548018
2015-03-13,56.08333333333334,63.5,58.52541229988391
2015-03-14,52.45454545454545,55.25,53.375002184532335
2015-03-15,59.91666666666666,62.375,60.72611980726488
2015-03-16,60.58333333333334,65.625,62.24339824879749
2015-03-17,57.5,62.875,59.26982127351137
2015-03-18,65.0,69.25,66.39939356510202
2015-03-19,52.91666666666666,60.25,55.33130654370542
2015-03-20,48.83333333333334,53.125,50.24644644319125
2015-03-21,53.5,57.875,54.94055219936972
2015-03-22,54.75,61.375,56.93140761618843
2015-03-23,56.91666666666666,59.875,57.890754344335704
2015-03-24,51.5,58.375,53.76372488472384
2015-03-25,54.08333333333334,59.375,55.8257155173329
2015-03-26,59.75,63.5,60.984759028031185
